Infinity Alpha Omega LLC,,,,,,,,,
Transaction Report,,,,,,,,,
All Dates,,,,,,,,,

,Transaction date,Transaction type,Num,Name,Description,Account Name,Item split account,Amount,Balance
21000 Due to I A Z Corporation,,,,,,,,,
,11/08/2021,Journal Entry,2,,Fredrickson - Legal,21000 Due to I A Z Corporation,,"1,016.00","1,016.00"
,11/26/2021,Journal Entry,2,,Stamp,21000 Due to I A Z Corporation,,66.71,"1,082.71"
,12/17/2021,Journal Entry,2,,No copy of detailed inovices - no copy of original invoices.,21000 Due to I A Z Corporation,,"4,100.00","5,182.71"
,01/10/2022,Journal Entry,1,,,21000 Due to I A Z Corporation,,"25,500.00","30,682.71"
,02/23/2022,Journal Entry,3,,,21000 Due to I A Z Corporation,,"15,000.00","45,682.71"
,03/01/2022,Journal Entry,4,,,21000 Due to I A Z Corporation,,"10,000.00","55,682.71"
,03/18/2022,Journal Entry,5,,,21000 Due to I A Z Corporation,,400.00,"56,082.71"
,03/29/2022,Journal Entry,6,,,21000 Due to I A Z Corporation,,"5,000.00","61,082.71"
,04/13/2022,Journal Entry,7,,Fence,21000 Due to I A Z Corporation,,"1,800.00","62,882.71"
,04/30/2022,Journal Entry,8,,,21000 Due to I A Z Corporation,,319.72,"63,202.43"
,05/19/2022,Journal Entry,9,,,21000 Due to I A Z Corporation,,"40,698.73","103,901.16"
,05/19/2022,Journal Entry,10,,Cashier's Check Brought to Closing for ??,21000 Due to I A Z Corporation,,"5,360.00","109,261.16"
,05/19/2022,Journal Entry,11,,,21000 Due to I A Z Corporation,,"1,275.00","110,536.16"
,05/20/2022,Journal Entry,12,,,21000 Due to I A Z Corporation,,75.00,"110,611.16"
,05/31/2022,Journal Entry,13,,Architectual Services,21000 Due to I A Z Corporation,,"2,399.14","113,010.30"
,05/31/2022,Journal Entry,14,,Architectual Services,21000 Due to I A Z Corporation,,"8,241.73","121,252.03"
,05/31/2022,Journal Entry,15,,Architectual Services,21000 Due to I A Z Corporation,,92.50,"121,344.53"
,05/31/2022,Journal Entry,16,,Architectual Services,21000 Due to I A Z Corporation,,"5,152.50","126,497.03"
,06/03/2022,Journal Entry,17,,Legal,21000 Due to I A Z Corporation,,"12,000.00","138,497.03"
,06/03/2022,Journal Entry,18,,,21000 Due to I A Z Corporation,,"1,810.00","140,307.03"
,06/21/2022,Journal Entry,19,,,21000 Due to I A Z Corporation,,1.61,"140,308.64"
,06/21/2022,Journal Entry,20,,,21000 Due to I A Z Corporation,,"1,275.00","141,583.64"
,06/21/2022,Journal Entry,46,,,21000 Due to I A Z Corporation,,27.41,"141,611.05"
,06/30/2022,Journal Entry,21,,Senior Architectual Level 1,21000 Due to I A Z Corporation,,465.00,"142,076.05"
,07/05/2022,Journal Entry,22,,,21000 Due to I A Z Corporation,,962.32,"143,038.37"
,07/05/2022,Journal Entry,23,,,21000 Due to I A Z Corporation,,693.38,"143,731.75"
,07/06/2022,Journal Entry,24,,,21000 Due to I A Z Corporation,,284.50,"144,016.25"
,07/07/2022,Journal Entry,25,,Final bill for previous customer,21000 Due to I A Z Corporation,,588.96,"144,605.21"
,07/08/2022,Journal Entry,26,,Maint Supplies,21000 Due to I A Z Corporation,,766.91,"145,372.12"
,07/14/2022,Journal Entry,27,,,21000 Due to I A Z Corporation,,264.52,"145,636.64"
,07/15/2022,Journal Entry,28,,,21000 Due to I A Z Corporation,,"3,736.00","149,372.64"
,07/15/2022,Journal Entry,29,,Architect,21000 Due to I A Z Corporation,,92.50,"149,465.14"
,07/18/2022,Journal Entry,30,,,21000 Due to I A Z Corporation,,"34,800.00","184,265.14"
,07/20/2022,Journal Entry,31,,,21000 Due to I A Z Corporation,,27.41,"184,292.55"
,07/22/2022,Journal Entry,32,,,21000 Due to I A Z Corporation,,177.48,"184,470.03"
,07/22/2022,Journal Entry,33,,,21000 Due to I A Z Corporation,,3.90,"184,473.93"
,07/29/2022,Journal Entry,34,,,21000 Due to I A Z Corporation,,184.41,"184,658.34"
,07/29/2022,Journal Entry,35,,,21000 Due to I A Z Corporation,,392.52,"185,050.86"
,08/01/2022,Journal Entry,36,,,21000 Due to I A Z Corporation,,"8,472.22","193,523.08"
,08/01/2022,Journal Entry,37,,,21000 Due to I A Z Corporation,,"8,477.40","202,000.48"
,08/01/2022,Journal Entry,38,,Commercial Protection Plan Installment 6/1/22-6/1/23 CP 3367652,21000 Due to I A Z Corporation,,"3,831.25","205,831.73"
,08/04/2022,Journal Entry,39,,,21000 Due to I A Z Corporation,,260.88,"206,092.61"
,08/05/2022,Journal Entry,40,,,21000 Due to I A Z Corporation,,588.22,"206,680.83"
,08/15/2022,Journal Entry,41,,,21000 Due to I A Z Corporation,,13.42,"206,694.25"
,08/18/2022,Journal Entry,42,,,21000 Due to I A Z Corporation,,225.84,"206,920.09"
,08/19/2022,Journal Entry,43,,,21000 Due to I A Z Corporation,,"4,305.55","211,225.64"
,08/19/2022,Journal Entry,44,,,21000 Due to I A Z Corporation,,"4,308.19","215,533.83"
,08/29/2022,Journal Entry,45,,,21000 Due to I A Z Corporation,,672.64,"216,206.47"
,09/01/2022,Journal Entry,47,,Architectural Services,21000 Due to I A Z Corporation,,"1,191.25","217,397.72"
,09/02/2022,Journal Entry,48,,309-6,21000 Due to I A Z Corporation,,78.60,"217,476.32"
,09/02/2022,Journal Entry,49,,,21000 Due to I A Z Corporation,,606.20,"218,082.52"
,09/19/2022,Journal Entry,43,,,21000 Due to I A Z Corporation,,"4,305.55","222,388.07"
,09/19/2022,Journal Entry,44,,,21000 Due to I A Z Corporation,,"4,308.19","226,696.26"
,09/28/2022,Journal Entry,45,,,21000 Due to I A Z Corporation,,702.50,"227,398.76"
,09/28/2022,Journal Entry,46,,,21000 Due to I A Z Corporation,,"-42,728.37","184,670.39"
,09/30/2022,Journal Entry,47,,Architechtural Services,21000 Due to I A Z Corporation,,867.50,"185,537.89"
,10/01/2022,Journal Entry,48,,Trash Removal,21000 Due to I A Z Corporation,,231.56,"185,769.45"
,10/01/2022,Journal Entry,RECLASS PMT,,Cashiers check for Loan 310119 paid by IAZ Corp for Infinity Alpha Omega LLC,21000 Due to I A Z Corporation,,"7,957.50","193,726.95"
,10/01/2022,Journal Entry,46,,,21000 Due to I A Z Corporation,,"-7,957.50","185,769.45"
,10/04/2022,Journal Entry,49,,309-6,21000 Due to I A Z Corporation,,94.64,"185,864.09"
,10/07/2022,Journal Entry,50,,,21000 Due to I A Z Corporation,,597.21,"186,461.30"
,10/13/2022,Journal Entry,51,,Building Permits for Construction,21000 Due to I A Z Corporation,,"15,131.63","201,592.93"
,10/19/2022,Journal Entry,43,,,21000 Due to I A Z Corporation,,"6,250.00","207,842.93"
,10/19/2022,Journal Entry,44,,,21000 Due to I A Z Corporation,,"6,253.82","214,096.75"
,10/21/2022,Journal Entry,52,,,21000 Due to I A Z Corporation,,"1,350.32","215,447.07"
,10/22/2022,Journal Entry,53,,,21000 Due to I A Z Corporation,,151.91,"215,598.98"
,10/24/2022,Journal Entry,54,,,21000 Due to I A Z Corporation,,597.00,"216,195.98"
,10/25/2022,Journal Entry,55,,,21000 Due to I A Z Corporation,,"2,131.50","218,327.48"
,10/27/2022,Journal Entry,56,,,21000 Due to I A Z Corporation,,673.72,"219,001.20"
,10/31/2022,Journal Entry,57,,Architectural Services,21000 Due to I A Z Corporation,,620.00,"219,621.20"
,10/31/2022,Journal Entry,58,,,21000 Due to I A Z Corporation,,"23,637.93","243,259.13"
,10/31/2022,Journal Entry,59,,,21000 Due to I A Z Corporation,,"1,891.03","245,150.16"
,10/31/2022,Journal Entry,60,,Architectural Services,21000 Due to I A Z Corporation,,"1,000.00","246,150.16"
,11/14/2022,Journal Entry,RECLASS PMT,,,21000 Due to I A Z Corporation,,283.70,"246,433.86"
,11/21/2022,Journal Entry,43,,,21000 Due to I A Z Corporation,,"6,458.33","252,892.19"
,11/21/2022,Journal Entry,44,,,21000 Due to I A Z Corporation,,"6,462.28","259,354.47"
,12/13/2022,Journal Entry,RECLASS PMT,,,21000 Due to I A Z Corporation,,738.90,"260,093.37"
,12/22/2022,Journal Entry,63,,Commission on commercial property rentals,21000 Due to I A Z Corporation,,"3,157.50","263,250.87"
,12/30/2022,Journal Entry,64,,,21000 Due to I A Z Corporation,,579.64,"263,830.51"
,12/31/2022,Journal Entry,65,,Security Deposit,21000 Due to I A Z Corporation,,"-1,633.48","262,197.03"
,12/31/2022,Journal Entry,66,,Pet Deposit,21000 Due to I A Z Corporation,,-250.00,"261,947.03"
,12/31/2022,Journal Entry,67,,January Rent,21000 Due to I A Z Corporation,,-544.50,"261,402.53"
,12/31/2022,Journal Entry,RECLASS PMT,,,21000 Due to I A Z Corporation,,274.54,"261,677.07"
,01/01/2023,Journal Entry,74,,Invoice dated 11/30 received 4/21,21000 Due to I A Z Corporation,,695.00,"262,372.07"
