Infinity Alpha Omega LLC,,,,,,,,,
Transaction Report,,,,,,,,,
"September 30, 2025",,,,,,,,,

,Transaction date,Transaction type,Num,Name,Description,Account Name,Item split account,Amount,Balance
21000 Due to I A Z Corporation,,,,,,,,,
,Beginning Balance,,,,,,,,"371,424.51"
,09/30/2025,Journal Entry,kk util 2025 09,,Due to IAZ for Utilities Paid Mpls,21000 Due to I A Z Corporation,,"4,563.37","375,987.88"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,486.08,"376,473.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","377,673.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","378,873.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","371,916.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","370,057.08"
Total for 21000 Due to I A Z Corporation,,,,,,,,"-$1,367.43",
TOTAL,,,,,,,,"-$1,367.43",



"Accrual Basis Monday, September 21, 2026 05:07 PM GMT-05:00",,,,,,,,,
