Infinity Alpha Omega LLC,,,,,,,,,
Transaction Report,,,,,,,,,
"December 31, 2025",,,,,,,,,

,Transaction date,Transaction type,Num,Name,Description,Account Name,Item split account,Amount,Balance
21000 Due to I A Z Corporation,,,,,,,,,
,Beginning Balance,,,,,,,,"375,989.33"
,12/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","377,189.33"
,12/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","370,232.33"
,12/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","368,372.45"
Total for 21000 Due to I A Z Corporation,,,,,,,,"-$7,616.88",
TOTAL,,,,,,,,"-$7,616.88",



"Accrual Basis Monday, September 21, 2026 05:07 PM GMT-05:00",,,,,,,,,
